T,Au,Uu,Ru,Nu,Qu,As,Us,Rs,Ns,Qs
9.7,-11.288336451677907,943.8126456158664,-9.84204653613466,2.3429253875053515,-0.1491009610430227,0.3111541879990089,3.1845640534280832,1.777372658341355,1.3859155874636362,0.5914899856839427
12.0,-10.700861757536778,822.0671016421786,-6.643688475793249,3.5274709313909067,-0.1704025501631244,0.21070616196751832,9.40449278025333,2.6302948254358665,1.5160664104597288,0.5769769033736943
14.0,-11.516776451703699,897.8164995745788,-6.164724640707178,3.5436046398229966,-0.16906532859433965,0.22799249056240425,16.98292830250331,2.82054723913226,1.5181104943896075,0.553793548314819
16.0,-12.38598492158809,1024.801582473253,-5.030556790057629,3.3086971707232484,-0.14313464952986368,0.19467079812267232,7.424410749657094,2.6978949068822087,1.5998851557356562,0.5354573368087763
18.0,-11.096734228573167,903.8365986784179,-5.379906292743413,3.861102555732693,-0.1544225316496333,0.1969772312819779,17.51179547241966,2.554496528518139,1.5734151505171257,0.5153203013502669
20.0,-11.836027636989229,734.3720814341616,-5.53544748022074,4.160950585614956,-0.15014064642863592,0.19823164524707526,15.02624879680887,2.3498126605829133,1.6329619903791048,0.45703725549958774
22.0,-11.324461619706351,904.116388662574,-5.5893542871928625,4.306419601593042,-0.104441276195161,0.1405772516893541,12.683749728306802,2.553616670185254,1.7596519477109978,0.45852596004795915
24.0,-10.763119936508144,1273.3676863721169,-2.756448504237987,2.3232811279785692,-0.08169645814162402,0.12170018332618597,15.40078629050399,2.432276384139213,1.969820866904895,0.46889866927002105
26.0,-6.469565358809952,1017.9673237136003,-5.496157200858338,4.315281674079031,-0.11245691692707407,0.4443369384516848,9.845105481562769,2.443457720625738,1.889210336574639,0.4969946393131081
28.0,-11.812049291090496,896.3765987879228,-4.9532394089620375,3.9312979503709258,-0.14250208812810378,0.18689065188669182,15.079041959670478,2.3695587506619242,1.7135986833878043,0.5435165001806542
30.0,-11.86382443156181,887.5794003688493,-5.204031231661242,4.120346782823432,-0.14245753232103964,0.22737806720150724,13.34376726753372,2.3815293537379545,1.673949842360954,0.5597098747678461
32.0,-8.188853168387134,613.10305666148,-5.008833705560718,3.9842778287166833,-0.1532927206401679,0.26337802152101086,10.573889574829385,2.481695890091899,1.7440694990287886,0.5214377701038327
34.0,-12.04407526677192,932.3746413965266,-5.132972731755622,4.0638933045444325,-0.16581324771278527,0.18707138277642277,13.525706507881525,2.2875343568760935,1.514008149209396,0.5298936795237708
36.0,-11.452170106002825,909.490508738724,-5.075588289183714,4.032605985140823,-0.15662003571124972,0.16909711474717795,9.70491410966682,2.3416250528746714,1.5008385485828597,0.547838167349935
38.0,-10.795388228262887,865.5392545361409,-5.056707190589538,4.019925169270788,-0.14834680507384257,0.19641873750954336,9.732978804198245,2.372292203804479,1.5547179081425546,0.5503770460182744
40.0,-11.240910064627233,920.8434399337041,-5.477405280021269,4.153619411614665,-0.1645254625214318,0.19208336731632053,14.77549247941809,2.4788046625574824,1.577729688799874,0.5732653291919056
41.0,-10.2204589705631,963.1365788002167,-5.0799523425189435,4.199365119490512,-0.16742405874081812,0.21106238131579208,19.380631305129167,2.5293524954308007,1.6284279396123664,0.5760369758137533
42.0,-10.928960058988185,954.3577287273267,-5.199183734277064,4.279409643091663,-0.16840441272103057,0.20303075936042034,18.126077523018232,2.5032278495560294,1.6049140796671688,0.5758368878290722
43.0,-10.863021574566378,937.0456122624914,-5.051490239140666,4.22782756044867,-0.1691445947211832,0.21310898382148913,19.356456454829416,2.4465097471699853,1.6176301845354681,0.5713669247759683
44.0,-11.39545899850025,933.2062267982737,-5.933624700399761,3.9119863780817674,-0.15653682736336083,0.17735728346409785,22.882807821306088,2.3706762795402976,1.618033042660489,0.575924460378822
45.0,-11.21844796303466,914.0718686025399,-5.279204380127381,3.372342547598163,-0.170205842066616,0.21029740063212277,19.449620614190653,2.485093186630113,1.6272754756101049,0.5783239896970728
46.0,-10.99762159882566,892.4880497798956,-5.971903599520225,3.958161805712697,-0.1723251891150407,0.2308144403774087,17.175525088952813,2.343833589181942,1.631748950878774,0.5581999228607942
47.0,-11.1604925838941,914.5907592949702,-5.690493182209035,4.027337522134205,-0.15521563553725665,0.23457106093204094,19.718926422983255,2.2226306335339276,1.7223004782310642,0.5665786912526091
48.0,-11.189927442790001,915.2244304993401,-5.4289520850504545,3.8316730447727885,-0.15452724494539738,0.22707236189855992,19.275751219699067,2.5799826855416637,1.684633751121379,0.5713908427289524
49.0,-11.18342694960625,913.1722673312784,-5.538632318005877,3.763577165689645,-0.17304079495943392,0.2182377551788454,19.269654913139366,2.510966261977383,1.5828247920628882,0.5848734952832108
50.0,-11.131697821485773,908.0461756317054,-5.5439186180398465,3.6708509923137864,-0.16593134327392678,0.21351340429537027,18.792742129119347,2.4528748263425078,1.6256835089441344,0.5706404232629289
51.0,-11.15994477836157,908.725068028963,-5.618394680953553,3.597797851629063,-0.17424610755364422,0.21883957583862176,18.7212769635106,2.4077559032078737,1.630586121941702,0.5672213336771702
52.0,-11.142627472128709,908.4811775222747,-5.606966132406193,4.099965866536511,-0.1656876265834366,0.224686829611046,19.0258793765897,2.5163376402123623,1.5913763188520604,0.5761150606464207
53.0,-11.135382663142204,906.4168163239341,-5.510224242280124,3.89780279429523,-0.1637984127684461,0.23305913173254938,16.60335111879609,2.6008470621012725,1.6181119042368166,0.5735357406966998
54.0,-11.161998250275424,909.6836635176794,-5.5585084790970996,4.082512641026373,-0.16450803539508696,0.21919734561702098,19.066185074239982,2.5270805949435053,1.58842974366572,0.5772737106943534
55.0,-11.16206176457041,908.4195850125775,-5.457846335030329,4.185218265212496,-0.1652005843899796,0.2194182853557796,18.15120202085659,2.554235801258694,1.5855265000891257,0.5803769891870184
56.0,-11.158373635691312,908.79392381076,-5.419193475483148,4.198201941235496,-0.16552150846746927,0.21727239329596648,18.71746448750122,2.4964520715954546,1.593423416197468,0.5778430050111548
57.0,-11.17884507157801,910.9555802515806,-5.485569714578048,4.348383684940881,-0.17245474299835284,0.2487645490483984,14.989837642410077,2.4910955698465873,1.6342629027637883,0.5900256456652356
58.0,-11.180818935558584,911.5201659084773,-5.9409671894492995,2.9226074303038523,-0.16441132153267768,0.24038342846607066,13.007563411721193,2.6612521907989892,1.7113412453796155,0.5410526393263911
