T_K,frac_orbach,frac_raman,frac_qtm
9.7,1.9379057085381413e-30,0.04071242119536917,0.9592875788046309
12.0,1.152817346126326e-22,0.09336686969044275,0.9066331303095573
14.0,5.314199213124089e-18,0.16369326518038654,0.8363067348196135
16.0,1.5833305530249356e-14,0.2545099240714775,0.7454900759285067
18.0,7.50916293078622e-12,0.3580100951385224,0.6419899048539685
20.0,9.77554608899052e-10,0.46379505161865686,0.5362049474037884
22.0,4.962355815438493e-08,0.5626671415440528,0.43733280883238906
24.0,1.2453224052410711e-06,0.6489630696050536,0.35103568507254124
26.0,1.824044884521013e-05,0.7206896229274681,0.27929213662368685
28.0,0.00017566569012534324,0.7783187128060217,0.221505621503853
30.0,0.0012130609064578241,0.8230626684901128,0.1757242706034294
32.0,0.006390496806421202,0.8542284686294708,0.13938103456410803
34.0,0.02668340659560542,0.8638279467224744,0.10948864668192015
36.0,0.08901903884632537,0.8282467441579526,0.08273421699572212
38.0,0.23080844835308395,0.7123827918249666,0.0568087598219495
40.0,0.4483552857818709,0.5182674210573732,0.03337729316075588
41.0,0.5621519691006535,0.4138035605644483,0.024044470334898163
42.0,0.6643045465074628,0.31893361267445325,0.01676184081808385
43.0,0.7488336938130019,0.2397429514457194,0.011423354741278669
44.0,0.8147441223251206,0.17756780925366564,0.007688068421213804
45.0,0.8641538248020612,0.1306933378432572,0.005152837354681605
46.0,0.90034187886354,0.09619722004662,0.003460901089839903
47.0,0.9265438815909178,0.07111680797086291,0.002339310438219259
48.0,0.9454522037188774,0.05295225429894186,0.0015955419821808208
49.0,0.9591247967081109,0.039775358214884905,0.0010998450770042338
50.0,0.969065264739595,0.030167886619731635,0.0007668486406734448
51.0,0.976346753301465,0.023112269975701507,0.0005409767228335721
52.0,0.9817270394576781,0.01788682811851156,0.00038613242381024343
53.0,0.985739632809729,0.013981565790197171,0.00027880140007389493
54.0,0.9887608326995347,0.011035596549950179,0.00020357075051512244
55.0,0.9910573217379278,0.008792423187936837,0.00015025507413534797
56.0,0.9928193414476771,0.007068597923052494,0.00011206062927035927
57.0,0.994183640737246,0.0057319484075606855,8.441085519350855e-05
58.0,0.995249325834468,0.004686482850584394,6.419131494761825e-05
